倩女幽魂手游科举答题器 科举答案大全_蚕豆网新闻
科举答案大全

2500、在明朝科举制度中，一甲进士称：|赐进士及第

5040、灵兽攻击可能受到多方面影响，其中一定不包括：|亲密

5041、笑傲江湖中的梅庄四友醉心于琴棋书画，请问梅庄的地理位置在哪?|杭州西湖边

5042、刀切大葱--|两头空

5043、西夏是北宋年间，由党项人建立在中国西部的政权，称大夏，宋人称为西夏，西夏的都城是：|兴庆

5044、基督教于公元1世纪诞生于耶路撒冷，而基督教的主要建筑--早期教堂的发展年代是：|公元4世纪

5045、大凡物不得其平则鸣出自何处?|送孟东野序

5046、波斯帝国流行的主要宗教为琐罗亚斯德教，请问在该宗教中的琐罗亚斯德是：|经文译者 先知 经文

5047、印度以种姓制度划分了阶级，其中奴隶阶级被称为?|首陀罗

5048、大兴土木，建造埃特梅兰基塔庙和空中花园的巴比伦王是：|尼布甲尼撒二世

5049、下面哪个不是易传的内容?|豰梁传

5050、梵天是印度教中三大主神之一，请问他是什么神?|创造之神

5051、穷途非所恨的下一句是?|虚室自相依

5052、秦始皇在咸阳铸造了十二个金人，请问所用的材料是?|兵器 黄金 水银

5053、蒋干盗书--|上了大当

5054、老马识途的典故与以下哪个历史人物相关?|管仲

5055、以下诗人和尊称对应有误的是?|李益-诗痴

5056、浣纱记唱词中表达了范蠡，西施归隐之念的是：|学冥鸿寻双逐对

5057、翅膀退化，没有双翅的鸟是?|几维鸟 大鸨 鸸鹊

5058、五代使用西方光影来表现立体感的画作为：|丹枫呦鹿图

5059、在神机营比武大会速跑比赛中，袁崇焕速度为3丈每秒，满桂为2.5丈每秒。袁崇焕跑完全程需20秒，则满桂需多久?|24

5060、南北纵贯的落基山-安第斯山脉把美洲大陆一分为二，西部属于__流域系统。东部则抱括__流域系统和__流域系统。|太平洋-大西洋-北冰洋 大

5061、西洋-太平洋-北冰洋/印度洋

5062、小说逆水寒中的赫连春水，因其妖孽般的长相和不羁的行事风格，又被人称为?|赫连小妖

5063、平定南蛮造反时，谁提出了攻心为上，攻城为下，心战为上，兵战为下的攻心策略，进而被诸葛亮实施为七擒孟获?|马谡

5064、春蚕吐丝不仅是一种自然现象，亦被后人用来代名一种中国画笔法，请问春蚕吐丝最初是形容哪位作家的笔法?|顾恺之

5065、其责已也重以周，其待人也轻以约出自何处?|原毁

5066、异人以控制鬼灵而著称，以下哪个不是对自身鬼灵的祝福技能?|骨肉祭：生

5067、专画寒林的宋代画家为：|郭熙 李成

5068、千古是非心，一夕渔樵话的作者是：|马致远 关汉卿 白朴

5069、秦始皇是首位真正举行封禅大典的君主，封礼是在泰山顶上举行的，请问他的禅礼是在哪里举行的?|梁父山 肃然山 嵩山

5070、相对其他动物，哺乳类特有的特征是?|恒温 胚胎具有羊膜 全身被行

5071、古巴比伦文明大致以今天的__为界，分为南北两部分，北部以古亚述城为中心，称为西里西亚。南部以巴比伦城为中心，称为巴比伦尼亚。|费卢杰 巴士拉
巴格达

5072、下列属于唐代四大类书的是?|白氏六帖

5073、根据诗前的序，孔雀东南飞的故事发生在：|汉末建安时期

5074、古代埃及扼守着亚非两洲的交通要道，战略位置十分优越，请问以下与其不相邻的是?|南非高原

5075、寒武纪时泛大陆发生分裂，在南部成为冈瓦纳大陆，北部分为____。|北美，欧洲和亚洲

5076、戚继光采用了哪种阵法大大提升了杀倭效率，台州大捷中歼敌五千五百余名，自损不足二十人?|鸳鸯阵

5077、词林枝叶三春尽的下半句是：|学海波澜一夜干

5078、苟富贵勿相忘是谁说的?|陈胜

5079、荔枝味美，古人留下了一骑红尘妃子笑，无人知是荔枝来的诗句，请问荔枝的食用部分是由花蕊子房中的哪一部分发育而来的?|子房壁

5080、白日依山尽，黄河入海流，欲穷千里目，更上一层楼。这首脍炙人口的诗作中提到的楼位于哪个省?|山西

5081、史记中曾用燕雀安知鸿鹄之志来比喻平凡的人哪里知道英雄人物的志向，请问鸿鹄指的是哪种鸟?|天鹅

5082、方士的120绝技雷火无妄中的无妄位乃是六十四卦中的一卦。哪个是对它的正确描述?|震下亁上

5083、妙手偶得之的一半句是：|粹然无疵瑕

5084、天无三日晴，地无三尺平指的是哪里?|贵州省

5085、叶徒相似，其实味不同。这种差异形成的主要原因是：|气候不同

5086、古代中国译出的第一部经书是:|佛说四十二章经 金刚经

5087、红楼梦中描写了庞大家族中错综复杂的人物关系，以下是妯娌关系的一组是?|李纨-薛宝钗 王夫人-赵姨娘 夏金桂-香菱

5088、两河流域文明的文学作品吉尔伽美什史诗是目前已知最古老的英雄史诗，其主角吉尔伽美什是一位：|国王

5089、杭州裁缝铺原来做一套礼服用布3.2丈，改进裁剪方法后，每套衣服用布2.8丈。原来做56套礼服的丝绸，现在可以做多少套?|64

5090、下列哪种动物不能进行无性繁殖?|蟑螂

5091、烽火连三月，家书抵万金。古代书信通过邮驿传递，唐代管理这类工作的中央管理机构是：|尚书省

5092、对灵兽绝技笑尽英雄和笑尽红尘以下描述正确的是：|可降低雄心中百分比加成的部分

5093、金九龄是陆小凤系列哪一个案件中的大反派?|绣花大盗

5094、三国演义中，夏侯惇拔矢啖睛，他的眼睛是被谁射中的?|曹性 张辽 高顺

5095、明朝的海青天赶赴南京上任时，发现进入南京是一件很困难的事，为什么?|迎接的人太多，太挤了

5096、匈奴是中国北方游牧民族建立的国家，曾与古代中国有过多次交锋，匈奴人在历史上的结局是：|融入中原或徙至欧洲

5097、楚留香系列的午夜兰花中割头小鬼的名言-割不尽的名人头上一句是?|饮不完的杯中酒

5098、绝代双骄中躲到恶人谷中反省精研医道，并且给燕南天治病的那个神医是谁?|万春流

5099、圆月弯刀中丁鹏的弯刀上刻的那句诗是?|小楼一夜听春雨

5100、在四大名捕系列小说中，无情其实并不完全无情，比如他曾与魔姑姬瑶花有过一段爱恨纠葛，请问具体是发生在哪部小说中?|毒手 血手 玉手

5101、周厉王暴虐，不听卿士召公苦谏，终于招致内乱。之后召公，周公共同处理周朝政务，恢复文王，武王时候的优良传统，四方又重新开始朝拜周朝。这个阶段号曰：|共和

5102、以下哪个灵兽附体技能是侠客一定不需要打的?|锁足-强混乱

5103、十八学士是常见绘画题材，唐太宗李世民在长安城设文学馆，邀请十八人常讨论政事，典籍，是为十八学士。下列哪组并非都属于十八学士之列?|陆德明-尉迟恭

5104、家园1级作物天竺葵是常见的园艺花卉，它提取的精油也有很高的药用价值，天竺葵不是中国原产，它的原产地是?|南非

5105、掬水月在手，弄花香满衣的作者是：|于良史

5106、射手有很多对自己使用的祝福技能，例如满引弓可以扩大攻击范围。以下哪个技能不是对自身的祝福?|万箭阵

5107、神机营运来一批蔬菜，原计划每天吃50斤，30天慢慢消耗完这批蔬菜。后来又召入一批新兵，每天比原计划多吃10斤，这批蔬菜可以吃多少天?|25

5108、关中最早的大型水利工程是战国末年穿凿的郑国渠，请问郑国渠得名于什么?|建筑师的名字

5109、群雄讨伐董卓，在泗水关迎战联军，连斩俞涉、潘凤的大将是谁?|华雄

5110、重湖叠清嘉。有三秋桂子，十里荷花。这首词描写的是哪里的美景?|西湖

5111、曾连续28年不上朝，创造了中国皇帝的纪录的是?|明神宗

5112、伐檀翁有6000活力，4000体力。已知种一棵白杨需要550活力，160体力。那他最多能种多少棵白杨?|10

5113、宁远觉华战场中，宁远城和觉华岛之间有着一定的关联，但不包括：|宁远城玩家可通过秘道至觉华岛援助

5114、以下不是金陵十二钗之一的人物是哪位?|尤三姐

5115、草叶集的基本主题是：|民主-自由

5116、德干高原、巴西高原、澳大利亚西部高原都是世界上地质历史古老的高原。巴西高原东部沿海地区分布着热带雨林景观，这种自然景观的分布反映了：|从沿海向内陆
非地带性 由赤道到两

5117、红楼梦描绘了大观园的风景秀丽，并为每个庭院题了匾额。请问桐剪秋风是哪处院落的匾额?|秋爽斋

5118、以下红楼梦中的异国名，属于作者虚构的是?|真真国 爪哇国 暹罗国

5119、张飞在长坂坡吼死了谁?|夏侯杰

5120、尧在选择继承人时，臣民们推荐了舜，为了考察舜的德行，尧首先做了什么事?|将两个女儿都嫁给舜

5121、人物在三倍经验状态下，灵兽使用二生膏，灵兽的经验会变成多少倍?|6

5122、倩女庭院的摆设日晷，指的是人类古代利用日影测得时刻的一种计时仪器，又称日规。请问最早使用日晷的是?|古巴比伦 埃及 罗马

5123、台风的名字由环太平洋的国家提供，请问以下哪个台风的名字不是由我国提供的?|杜鹃 海葵 天兔

5124、揣着明白装糊涂--|装傻

5125、以下关于金庸小说中的人物郭襄描述不正确的一项是?|郭靖与黄蓉的三女儿

5126、印章，古称玺，是一种凭证信物，在中国已有二千多年的历史，至今仍普遍使用。以下不属于印石三宝乃的是：|花乳石

5127、有商人运米出关，经过外关时，被拿走1/3作为赋税，经过中关时被拿走1/4，经过内关被拿走1/5，此时还剩下10斗米。问：原本有多少米?|25

5128、大禹的父亲鲧治水九年毫无成效，而大禹却能治水有成，因为大禹采用了什么方法?|易堵于疏

5129、琵琶出塞曲的下半句是：|横笛断君肠

5130、向曹操献上驱虎吞狼之计，引得刘备、吕布、袁术三人互相攻伐的谋士是：|荀彧

5131、枚乘的七发所标志的赋体发展阶段是：|大赋文体的形成

5132、琵琶自唐代定型以来，一直广受人们喜爱。请问以下哪种演奏指法不属于琵琶?|淌 擞 带

5133、我国历史上著名的七国之乱是以下哪个年代发生的事情?|西汉

5134、富贵人家的小姐--|弱不禁风

5135、湖泊有多种形成方式，以下湖泊成因与火山有关的是?|天池

5136、偃师本身并不灵巧，但通过操纵傀儡可达通天之能。请问偃师的哪个技能和异人的伤神续命最为相似?|千机变 归元咒 护生影

5137、水浒传中行者是下列那种教徒的称呼?|佛教

5138、我国人口最多的少数民族是：|壮族

5139、以下哪个是指阳?|山之南

5140、巴尔扎克所属的文学流派是：|批判现实主义

5141、尊王攘夷是一个含义复杂的政治术语，在东亚各国中都有应用，是谁最先使用了这个术语?|齐桓公

5142、希腊神话中，克里特岛上的迷宫是为了关押___。|牛头人

5143、格陵兰岛是世界上最大的岛屿，其大部分面积(约83.7%)被冰雪覆盖，因为____与____的相互碰撞、挤压和分裂，形成于38亿年前。|美洲板块-
亚欧板块

5144、下列诗句中与慈母手中线，游子身上衣不属于同一个作者的是?|鸡犬逐人静，云霞宜地偏

5145、以下诗句不属于同一位诗人的是?|曲径通幽处，禅房花木深

5146、鹿鼎记里的假皇太后毛东珠是武林高手，最后她被谁所杀?|归辛树夫妇

5147、元朝退回蒙古高原之后的政权史称：|北元

5148、希腊神话中，阿波罗除了掌管光明外，还掌管了：|文艺

5149、晏殊-木兰花中句：闻琴解佩神仙侣，挽断罗衣留不住。劝君莫作独醒人，烂醉花间应有数。此中闻琴指的是何人之间的故事?|卓文君和司马相如

5150、五胡乱华时期，从几乎灭族危机之境挽救汉族的著名将领是?|冉闵

5151、孙悟空又名孙行者，请问行者之名是谁为他取的?|唐僧

5152、荷叶包蟹--|包不住

5153、古代人重礼，有尊称、雅称、谦称、婉称等，下面是对他人母亲雅称的是：|泰水 萱堂 巾帼

5154、历史上有两只军队以将领的名称命名，一只是岳飞的岳家军，另一只军队的领军是?|戚继光

5155、百年松树，五月芭蕉--|粗枝大叶

5156、古希腊建筑风格的特点最集中体现在神庙等建筑的柱式上，以下不属于古希腊石柱样式的是：|特洛伊柱式 爱奥尼柱式 多利亚柱式

5157、最早的印度文明始于印度河流域，请问印度河的发源地是?|印南高原 青藏高原 恒河高原

5158、公元79年，维苏威火山大爆发吞没了古罗马第二大城市，请问这座城市的名字是?|庞贝

5159、据说张先在80岁时娶了一个18岁的小妾，东坡就调侃道一树梨花压海棠。梨花指的是白发的丈夫，海棠指的是红颜少妇。历史上有许多类似的例子，请问其中年龄相差最大的是哪一对?|唐明皇与杨贵妃
钱谦益与柳如是

5160、下列作品中哪一部不是古龙楚留香系列的?|凤舞九天

5161、包法利夫人中的女主人公是：|爱玛

5162、下列属于唐代四大类书的是?|艺文类聚

5163、下列哪一个不是古官名三公之一?|太殿

5164、三国演义逍遥津之战中，以七千之众大破孙权十万大军并差点活捉孙权，杀得江南人人害怕，闻其名小儿也不敢夜啼的著名魏国将领是：|张辽

5165、科举时代祝福考生常用的纹样是：|柿子和桃子 螃蟹与芦苇 松鼠与葡萄

5166、对北美大陆而言，古生代的造山运动主要集中于____.|大陆东部

5167、伯乐挥鞭--|骑马找马

5168、在圣经记载中，大洪水劫难后，人们语言相通，齐心协力，力图建立一座塔高通天的通天塔，这种行为触怒了上帝，请问这座通天塔在记载着修筑于何地：|巴比伦城

5169、方士的技能步罡踏斗，乃是道家做法时的一种法术。其出处是三国演义-孔明日则计议军机，夜则步罡踏斗。这里的罡指的是北斗七星的什么部位?|柄

5170、成语小心翼翼出自诗经•大明：维此文王，小心翼翼。这段话属于诗经的哪个部分?|大雅

5171、以下教堂，属于拜占庭建筑风格的是：|圣保罗大教堂 圣索菲亚大教堂 花之圣母大教堂

5172、家具紫檀嵌螺钿花蝶纹多宝格在家园中，是多少级家园可以使用的?|1级 10级 6级

5173、周时齐国为诸侯国之一，齐国的第一任国君是周朝的哪位开国元勋?|姜太公

5174、角色包裹栏里有40个格位，当放满玲珑心蛮力时，要比放满玲珑心力量时，多增加多少点力量?|40

5175、倩女家具中的琉璃照壁，其实是中国传统建筑独有的部分，明朝时最为流行，又称为萧墙。以下哪个不是照壁的作用呢?|不让气直冲厅堂卧室 断鬼的来路
对来客表明主人身份

5176、宋朝编修了不少与史学相关的类书，著名的宋四大书不包括?|永乐大典

5177、金庸先生一部小说中有四位侠客称为江南四奇，令被合称为落花流水，请问是哪部作品?|连城诀

5178、成语背水一战说的是以下哪位将军作战的故事?|韩信

5179、纵横家也是诸子百家之一，主张合纵连横，活跃在战国时期，其鼻祖为：|张仪 孙膑 鬼谷子

5180、将军何处觅功名的上半句是：|单于渭桥今已拜

5181、新生代包括老第三纪、新第三纪和第四纪，是距今最近的一个代。在第三纪发生强烈的地壳运动，欧洲称为____，亚洲称新喜马拉雅运动。|新阿尔卑斯运动
新安第斯运动 新斯堪的纳维亚运动

5182、请问射手的技能不能附带哪种元素攻击?|光攻击

5183、三分天下最终归晋。三国最后灭亡的是?|吴国 蜀国 蜀吴同时灭

5184、角色包裹栏有40个格位，假设都放混元金斗-聪慧，最多能增加多少点智力?|190

5185、司马迁在史记•历书中写道：至今上即位。而巴郡落下闳运算转历。文中的今上和历是：|汉武帝-太初历

5186、西游记书中万圣龙王派到祭赛国巡塔的黑鱼精叫什么名字?|灞波儿奔

5187、红楼梦中描写了庞大家族中错综复杂的人物关系，以下是母女关系的一组是?|贾敏-林黛玉 李纨-巧姐 邢夫人-贾探春

5188、红漆嵌珐琅面梅花式香几是倩女中不但美观，还能带来高气数的桌案类家具。现实中，珐琅作为有名的装饰品，而闻名于世。以下哪个说法是正确的?|画珐琅工艺起源于我国
又称景泰蓝 珐琅制品在明代达到鼎盛

5189、以下出自山海经的上古神兽，哪一个来自海滨?|白泽

5190、反刍动物的反刍胃一般有四个部分，当反刍出的食物重新咽下的时候会到达第三个胃腔，第三个胃腔是?|重瓣胃 蜂巢胃 皱胃

5191、成语望穿秋水出自：望穿他盈盈秋水，损他淡淡春山。这句话来自哪部戏曲著作?|西厢记

5192、明朝历史演义小说是由宋元说话艺术中的讲史一类发展而来的，下列不属于历史演义小说的是?|全汉志传 北宋志传

5193、曹操组建联盟以擒董卓，十八路诸侯来会盟，谁为盟主?|袁绍

5194、历史上不列颠曾经被罗马人征服过，请问是发生在以下哪位罗马统治者当政时期?|奥古斯都 克劳狄 尼禄

5195、秦始皇初统一六国，在中央政府以下设置了郡一级的统治机构，请问，刚统一时，一共有多少个郡?|三十六

5196、下列哪一个不是明朝的情报机构?|詹事府

5197、被称为剑圣的日本战国武将是?|上泉信纲

5198、传家宝放置在家园中，可通过祈福提升自身能力，通常由5个碎片合成，其碎片无法通过以下哪种途径获得?|春草莲生 萍踪侠影 跨服祈福守财

5199、我国海拔最高的寺庙是?|绒布寺

5200、以下哪个不属于白居易的别称?|洛微先生

5201、元朝帝国为大汗辖区，另外还有服从大汗主权的四个相对独立的国家，即四大汗国，以下哪个不属于四大汗国之一?|拖雷汗国

5202、吴起是战国初期著名的政治家与军事家，他曾受多个诸侯国的重用，以下国家中哪个是他没有任职过的?|卫国

5203、人们主要从下列哪部作品中了解北欧神话?|荷马史诗 阿斯加德 埃达

5204、希腊神话中，众神之主宙斯掌管的是?|雷电 暴雨

5205、孔子曾用是可忍也，孰不可忍也来表达对季氏僭用乐舞的愤怒，请问季氏用了多少个人跳舞?|六十四

5206、俄狄浦斯王中俄狄浦斯最终对自己的惩罚是：|刺瞎双眼

5207、希腊神话中，____为了夺回王位，在其他英雄的帮助下，成功盗取了金羊毛。|伊阿宋

5208、第十二夜的剧种是：|悲剧 喜剧 历史剧

5209、跳出三界外，不在五行中，以下哪一界不是三界之一?|无欲界

5210、天子佩白玉而玄组绶，公侯佩山玄玉而朱组绶，大夫佩水苍玉而纯组绶，世子佩瑜玉而綦组绶，士佩瓀玟而緼组绶。这里的水苍是什么颜色?|白色 青色 红色

5211、下列好汉中未参与智取生辰纲的是：|武松

5212、希腊神话中，看守金苹果的是?|巨龙

5213、满江红被用作词牌名，它在自然界中是什么物种?|水生蕨类植物

5214、西游记大闹五庄观一节中，观内两童子发现少了4个果子，可悟空争辨只吃了3个，请问还一个人参果去哪了?|掉地上消失了

5215、中国很早就把天空分为三垣二十八宿，二十八宿是在黄道和白道附近的28个区域。即东方七宿，南方七宿，西方七宿，北方七宿。以下哪个七宿是错误的?|东方蛟龙

5216、以下哪一本书不属于我国古代地理名著?|禹贡 华阳国志

5217、以下哪句诗与月落乌蹄霜满天，江枫渔火对愁眠。描写的不是同一处景色?|急奏 船里 一自

5218、以下哪个人物曾经出现在指鹿为马的故事中?|胡亥

5219、浮士德的文学体裁是：|诗剧

5220、猪八戒被妖怪抓起来了，每天会被切去十斤肉，若按西游记中说：天上一日，人间一年的设定，孙悟空在天庭搬救兵每耽搁半个时辰，猪八戒能瘦

5221、大约多少斤?|150斤

5222、脉脉广川流，驱马历长洲。鹊飞山月曙，蝉噪里风秋。是描述那座城池的景象?|洛阳

5223、我国最大的盐湖是什么?|察尔汗盐湖

5224、下列足的类型和昆虫对应关系正确的是?|跳跃足-蟋蟀

5225、大雁东南飞--|趾高气扬 不看天气 面面相觑

5226、诗句为有暗香来的上半句是：|遥知不是雪

5227、师门闯关中，第一关都对应着一个师门，其中的怪物也有着该师门的特点，其中昆仑山BOSS鹰眼老七的特点是：|释放分身

5228、果戈理著名的剧作是：|密尔格拉德 钦差大臣 狄康卡近乡夜话

5229、世界上第一座清真寺修建于：|麦地那 新疆

5230、成语一暴十寒是以下哪位思想家劝诫的话?|孟子

5231、成语大智若愚出自：大勇若怯，大智若愚。这句话最早是谁说的?|苏轼

5232、角色包裹栏有40个格位，假设都放混元金斗(奔宵)，最多能增加多少点敏捷?|140

5233、成语巾帼须眉常用来形容有男子气概的女子，请问帼的意思是?|头巾

5234、红楼梦中包含众多诗词曲赋，以下篇目不是红楼梦原创的是?|寄生草

5235、乔峰从金人手中救出辽国皇帝耶律洪基，结为兄弟，帮助消除叛乱，被封为?|南院大王

5236、鬼装李裹儿之兔绒弁中的李裹儿是唐朝的一位公主，请问她的封号是?|安乐公主

5237、德干高原、巴西高原、澳大利亚西部高原都是世界上地质历史古老的高原。三大高原都是所在国家矿产资源丰富的地区，它们都蕴藏着量大质优的：|铁矿

5238、居鲁士二世建立的波斯第一帝国又被称为：|尼布甲尼撒帝国 东罗马帝国 阿契美尼德帝国

5239、蜀国五虎将中，最早去世的是?|关羽

5240、魅者作为控制之王，控制技能可谓多种多样，例如强混乱、强眩晕。不过也有的控制状态是魅者力不能及的。以下哪个不利状态是魅者无法施加的呢?|变猪

5241、春风又绿江南岸，明月何时照我还是哪个朝代的作品：|宋代

5242、秦始皇统一六国后，采用了郡县制，他将天下分为多少个郡?|三十六

5243、中国古代音律中，最早只有五音即宫商角徵羽，请问是哪位音乐家最早把七调传入中原，丰富了中原的音乐体系?|苏祇婆 郑泽 许合子

5244、楚留香的三位红颜知己中有一位精于医术、易容术、也擅长下毒，请问她是?|苏蓉蓉

5245、五原春色归来迟，二月垂柳末挂丝。即今河畔冰开日，正是长安花落时。请中描述的现象：|水分差异 赤道到两极 非地带性

5246、形存则神存，形谢则神灭是谁提出的?|范缜

5247、在史记中若想查找项羽相关的事迹，应该查阅书中的哪一分类?|本纪

5248、中国古代有些女性画家也留下部分画作，下列人物中，不为女性的画家是：|管道昇 文椒 张萱

5249、知否，知否，应是绿肥红瘦。的作者是：|李煜 晏殊 李清照

5250、温瑞安笔下戚少商出现在他的多部作品中，下列哪一个是戚少商没有做过的?|楼主 大寨主 首领

5251、恩格斯评价一位诗人为：中世纪的最后一位诗人，新时代的最初一位诗人，他是：|莎士比亚 但丁 薄伽丘

5252、古希腊神话中爱与美之神的名字是：|阿弗洛狄斯

5253、明朝英雄传奇小说是在宋元讲史的基础上发展起来的，下列不属于英雄传奇小说的是?|新列国志 水浒传 杨家府演义

5254、古人以悼亡诗寄托哀思，追念逝去的亲人，在下列悼亡诗中，哪一首描述的不是对妻子的悼念?|吴文英-莺啼序•春晚感怀

5255、戏剧艺术的荷马指的是：|索福克勒斯

5256、诗经是中国第一部诗歌总集，收录西周初到春秋中叶诗歌305篇。下列哪个没有收集在诗经里?|笙诗

5257、曹魏时期，宣扬庄子的道法自然，公开非汤武而薄周孔的是竹林七贤中的：|嵇康

5258、你做生意我教书--|人各有志

5259、在游戏中，想要追杀另一名玩家，准确获知其位置，可以使用千里追踪功能，以下错误的是：|元宝和元宝票区均有出售

5260、希腊神话中，以下四位中哪一位和其他三位不是兄弟关系?|波塞冬 阿波罗 宙斯

5261、帮助田忌赛马得胜的人是谁?|孙膑

5262、古罗马时代著名的美女，埃及艳后克列奥帕特拉曾与那个时代的多位掌权者有染，以下哪位没有被她诱惑?|托勒密十三世 凯撒 屋大维

5263、神曲中引导但丁游历天堂的人是：|弗兰采斯加 荷马 马雅特里齐

5264、东北三宝不包括?|红松

5265、红楼梦中所说的二木头是指哪个人物?|贾迎春

5266、猜灯谜是元宵佳节传统习俗。红楼梦中有多次写到制灯谜的情景，其中贾政所出灯谜身自端方，体自坚硬。虽不能言，有言必应。谜底是何物?|砚台

5267、不到黄河心不死--|顽固不化

5268、红楼梦中有一则暗指四大家族姓氏的护官符，请问东海缺少白玉床，龙王来请金陵__。是指哪一家族?|王

5269、魏晋时期，建安七子是当时文学的代表人物，下列属于建安七子的是：|阮瑀

5270、成语缘木求鱼出自：以若所为，求若所欲，犹缘木而求鱼也。这句话出自哪部典籍?|孟子

5271、京杭大运河申遗成功，它是劳动人民智慧的结晶，运河沿岸也有诸多民间艺术，请问哪种民间艺术不在运河沿岸?|黄梅戏

5272、水浒传中很多人曾在朝中谋得一官半职，只是最后被逼上梁山，请问下列好汉在落草前从没为朝廷效力过的是：|张顺

5273、下列自然现象是由地球自转引起的是：|昼夜更替

5274、堂吉诃德产生的时期是：|文艺复兴时期

5275、灵兽绝技拨云见月和拨云见日的区别是：|取人物的命中不同

5276、三国名将马超具有哪个少数民族的血统?|羌族

5277、希腊神话中，拥有隐形头盔的神是：|哈迪斯

5278、梁山好汉中，有很多以虎为绰号的，请问下列好汉的绰号中不带虎的是：|杜迁

5279、师门闯关中，每一关都对应着一个师门，其中的怪物也有着该师门的特点，其中逍遥观BOSS杨济时的特点是：|为友方加血

5280、中国第一座基督教堂建立的朝代和地点分别是?|明-北京 元-南京 元-北京

5281、成语门庭若市的故事发生在战国时期以下哪个君主身上?|赵王 齐王 楚王

5282、木兰从军--|女扮男装

5283、蒯祥是我国明代杰出的工匠，曾担任工部侍郎，参加或主持了多项重大的皇室工程。以下哪个工程不是他负责建造的?|庆陵

5284、无意苦争春，一任群芳妒。描写的是：|梅花

5285、白发魔女传武侠小说是作家梁羽生的作品，其中男主人公叫什么?|卓一航

5286、今人不见古时月的下半句是：|今月曾经照古人

5287、白蚁可以食用木头，是因为生活在其消化道中的鞭毛虫，可以将白蚁吃进的纤维素进行分解，白蚁和鞭毛虫的关系是?|互利共生 共栖 捕食

5288、在倩女游戏中，120级以上的玩家可以参与捉鬼任务，有一定几率进入惊喜副本恶鬼宝库，对其描述错误的是：|不占用捉鬼次数

5289、在西方建筑风格中，以空灵纤瘦、高耸尖峭尖拱，表达灵性，启示脱离苦难，奔赴天国乐土的建筑风格是：|古典主义 古罗马风格 哥特风格

5290、搬菩萨洗澡--|白费神

5291、鹌鹑嗉里寻豌豆，鹭鸶腿上劈精肉，蚊子腹内刳脂油。亏老先生下手!中老先生指：|京官

5292、佛教将人间世界分为四大部洲，请问孙悟空出生的傲来国属于哪个洲?|东胜神洲

5293、以下灵兽技能与升级技能当前等级上限的道具不匹配的是：|雪鹑羽-生髓通 鳄晣髓-睚眦通 三叶甲-明目通

5294、金庸名著笑傲江湖中梅庄四友各具特色，下列哪一个不是他们的一员?|丹秋生 黄钟公 黑白子

5295、一个人用车装米，从甲地运往乙地，装米的车日行10千米，不装米的空车日行20千米，6日往返2次，问二地相距多少千米?|20

5296、以下哪一项不是我国特有的树种?|雪松 水衫 云衫

5297、火烧连营的白面书生是吴国的哪位将领?|陆逊

5298、曹仁的八门金锁阵被谁破了?|徐庶

5299、希腊神话中，珀耳塞福涅被冥王哈迪斯绑架至冥界与其结婚，成为冥后，在赫尔墨斯救出珀耳塞福涅前，哈迪斯骗她吃了__，使其每年有四个月要待在冥界。|石榴籽

5300、锥刺股说的是哪位纵横家的故事?|苏秦

5301、英雄无泪中卓东来雄才大略却聪明反被聪明误，最后死在谁的剑下?|高渐飞

5302、红楼梦真实反映了旧时嫡庶出身不同，人物待遇与命运也截然不同。以下人物是庶出的是?|贾探春

5303、与张生煮梅一样，描写书生与龙女之间的爱情故事的作品是：|柳毅传书

5304、唐传奇指唐代流行的文言短篇小说，下列不属于唐传奇的是?|桃花扇

5305、我国历史上最早对于石油使用的记载是哪本书上的?|汉书•地理志

5306、中国历史许多画家为方外之士，下列人物，哪些不是和尚：|弘仁 石涛 无用师

5307、刀客的70绝技狡兔三窟可以召唤出皮影分身迷惑对方。请问在狡兔三窟达到70级时，除玩家本体外，还可以召唤出多少个分身?|8个

5308、以下关于吉星高照玩法不正确的是：|每周周一、周三、周五开启

5309、以下哪座塔具有塔中塔的奇特结构?|湖州飞英塔

5310、罗马帝国第一位皇帝是：|屋大维

5311、若非天上神仙宅的下半句是：|须是人间将相家

5312、水浒传中庄前锣鼓响叮当，娇客新来小霸王。不信桃花村外火，照人另样冒火光。这写的是哪位梁山好汉?|周通

5313、舜时三苗作乱，于是舜率军南征，结果死于军中，请问舜死于何处?|苍梧

5314、词牌鹧鸪天又名：|半死桐

5315、不达时皆笑屈原非，但知音尽说陶潜是。中的陶潜又名：|陶渊明

5316、明朝戏曲文化普及，各地迎神赛会活动频繁，二三月间一般有春台戏，是为了：|祈农祥

5317、宋代开国宰相赵普曾说自己凭借半部书就能治理天下，他说的是哪部书?|论语

5318、廊腰缦回，檐牙高啄。各抱地势，钩心斗角。是用来形容以下哪座宫殿的?|阿房宫

5319、红楼梦中所说的冷美人是指哪个人物?|王熙凤 史湘云 薛宝钗

